[2025-04-22T10:31:45.125-0300] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-22T10:31:45.140-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [queued]>
[2025-04-22T10:31:45.148-0300] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-04-22T10:31:45.167-0300] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): integracao_api> on 2025-04-22 13:31:35.667282+00:00
[2025-04-22T10:31:45.173-0300] {standard_task_runner.py:72} INFO - Started process 17002 to run task
[2025-04-22T10:31:45.178-0300] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'integracao_api', 'integracao_api', 'manual__2025-04-22T13:31:35.667282+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/dag_integration.py', '--cfg-path', '/tmp/tmpkj2173p9']
[2025-04-22T10:31:45.179-0300] {standard_task_runner.py:105} INFO - Job 91: Subtask integracao_api
[2025-04-22T10:31:45.217-0300] {task_command.py:467} INFO - Running <TaskInstance: integracao_api.integracao_api manual__2025-04-22T13:31:35.667282+00:00 [running]> on host jonathan-brito
[2025-04-22T10:31:45.300-0300] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data_team' AIRFLOW_CTX_DAG_ID='integracao_api' AIRFLOW_CTX_TASK_ID='integracao_api' AIRFLOW_CTX_EXECUTION_DATE='2025-04-22T13:31:35.667282+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-22T13:31:35.667282+00:00'
[2025-04-22T10:31:45.302-0300] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-04-22T10:50:33.934-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5300 de 9994)
[2025-04-22T10:50:56.121-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5400 de 9994)
[2025-04-22T10:51:18.847-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5500 de 9994)
[2025-04-22T10:51:40.147-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5600 de 9994)
[2025-04-22T10:52:02.322-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5700 de 9994)
[2025-04-22T10:52:23.882-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5800 de 9994)
[2025-04-22T10:52:46.413-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 5900 de 9994)
[2025-04-22T10:53:07.509-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6000 de 9994)
[2025-04-22T10:53:28.738-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6100 de 9994)
[2025-04-22T10:53:50.931-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6200 de 9994)
[2025-04-22T10:54:14.263-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6300 de 9994)
[2025-04-22T10:54:35.575-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6400 de 9994)
[2025-04-22T10:54:56.286-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6500 de 9994)
[2025-04-22T10:55:19.482-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6600 de 9994)
[2025-04-22T10:55:42.560-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6700 de 9994)
[2025-04-22T10:56:03.645-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6800 de 9994)
[2025-04-22T10:56:24.729-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 6900 de 9994)
[2025-04-22T10:56:42.745-0300] {logging_mixin.py:190} INFO - Enviados 100 registros (total: 7000 de 9994)
